concept,database,status,n_rows,n_nonnull,min,max
norepi_rate,hirid,OK,1715,1715,0.0,0.35808464884757996
norepi_rate,sic,OK,6710,6710,0.0004000200133305043,1.0141987800598145
epi_rate,miiv,OK,290,290,0.009997256100177765,0.40255671739578247
epi_rate,mimic,OK,258,258,0.009982154704630375,1.0
epi_rate,eicu,OK,44,44,0.0,0.30000001192092896
epi_rate,aumc,OK,41,41,0.003921568859368563,1.3333333730697632
epi_rate,hirid,OK,409,409,0.0,0.36901354789733887
epi_rate,sic,OK,15,15,0.04172224923968315,1.0
dopa_rate,miiv,OK,249,249,1.501501441001892,20.394359588623047
dopa_rate,mimic,OK,613,613,0.0,20.0
dopa_rate,eicu,OK,290,290,0.0,50.0
dopa_rate,aumc,OK,1434,1434,0.0634920671582222,12.460000038146973
dopa_rate,hirid,NO_SRC,0,0,,
dopa_rate,sic,EMPTY,0,0,,
dobu_rate,miiv,OK,28,28,2.5002501010894775,5.174305438995361
dobu_rate,mimic,OK,123,123,0.0,20.0
dobu_rate,eicu,OK,200,200,0.1253782957792282,10.319303512573242
dobu_rate,aumc,OK,978,978,0.0793650820851326,7.843137264251709
dobu_rate,hirid,OK,808,808,0.0,8.429938316345215
dobu_rate,sic,OK,596,596,0.3787054419517517,6.666666507720947
vaso_ind,miiv,OK,444,444,1.0,1.0
vaso_ind,mimic,OK,2132,2132,1.0,1.0
vaso_ind,eicu,OK,793,793,1.0,1.0
vaso_ind,aumc,OK,669,669,1.0,1.0
vaso_ind,hirid,OK,791,791,1.0,1.0
vaso_ind,sic,OK,11670,11670,1.0,1.0
vent_ind,miiv,OK,8289,8289,1.0,1.0
vent_ind,mimic,OK,18484,18484,1.0,1.0
vent_ind,eicu,OK,26241,26241,1.0,1.0
vent_ind,aumc,OK,19955,19955,1.0,1.0
vent_ind,hirid,OK,6391,6391,1.0,1.0
vent_ind,sic,OK,9353,9353,1.0,1.0
fio2,miiv,OK,3732,3732,21.0,100.0
fio2,mimic,OK,3304,3304,21.0,100.0
fio2,eicu,OK,5456,5456,21.0,100.0
fio2,aumc,OK,17183,17183,21.0,100.0
fio2,hirid,OK,6564,6564,21.0,100.0
fio2,sic,OK,9058,9058,21.0,100.0
gcs,miiv,OK,7529,7529,3.0,15.0
gcs,mimic,OK,8037,8037,3.0,15.0
gcs,eicu,OK,5301,5301,3.0,15.0
gcs,aumc,OK,2582,2582,3.0,15.0
gcs,hirid,OK,5760,5760,3.0,15.0
gcs,sic,NO_SRC,0,0,,
urine,miiv,OK,13454,13454,0.0,1950.0
urine,mimic,OK,15590,15590,0.0,1940.0
urine,eicu,OK,7802,7802,0.0,2000.0
urine,aumc,OK,19821,19821,0.0,1250.0
urine,hirid,OK,8759,8759,0.0,2158.208740234375
urine,sic,OK,22393,22393,0.0,2000.0
sofa,miiv,OK,70592,70592,0.0,22.0
sofa,mimic,OK,76103,76103,0.0,18.0
sofa,eicu,OK,62476,62476,0.0,20.0
sofa,aumc,OK,101030,101030,0.0,21.0
sofa,hirid,OK,15747,15747,0.0,20.0
sofa,sic,OK,61791,61791,0.0,16.0
sep3,miiv,OK,99,99,1.0,1.0
sep3,mimic,OK,47,47,1.0,1.0
sep3,eicu,OK,18,18,1.0,1.0
sep3,aumc,OK,70,70,1.0,1.0
sep3,hirid,LIMIT,0,0,,
sep3,sic,LIMIT,0,0,,
death,miiv,OK,26,26,1.0,1.0
death,mimic,OK,44,44,1.0,1.0
death,eicu,OK,300,300,0.0,1.0
death,aumc,OK,94,94,1.0,1.0
death,hirid,OK,19,19,1.0,1.0
death,sic,OK,62,62,1.0,1.0
weight,miiv,OK,282,282,1.0,500.0
weight,mimic,OK,220,220,31.100000381469727,3120.0
weight,eicu,OK,281,281,40.79999923706055,167.0
weight,aumc,OK,291,291,50.0,120.0
weight,hirid,OK,274,274,45.0,140.0
weight,sic,OK,300,300,35.0,180.0
age,miiv,OK,300,300,18.0,91.0
age,mimic,OK,300,300,0.0,90.0
age,eicu,OK,300,300,17.0,90.0
age,aumc,OK,300,300,30.0,90.0
age,hirid,OK,300,300,20.0,90.0
age,sic,OK,300,300,20.0,90.0
